Frame,Time,FaceDetected,LeftIrisX,LeftIrisY,RightIrisX,RightIrisY,EAR,Blink,TotalBlinks,Yaw,Pitch,Roll,HorizontalGaze,VerticalGaze,OnScreen,HorizontalRatio,VerticalRatio,AttentionState
73,2.951,True,698.0,210.0,824.0,210.0,0.2866,False,2,-6.079855076418142,26.315555904009592,-179.19934472753815,Center,Down,False,0.522,0.556,Looking Down
74,2.991,True,710.0,210.0,836.0,207.0,0.3264,False,2,-7.96736480397813,26.054116951411167,-179.4363545121787,Center,Down,False,0.536,0.564,Looking Down
75,3.032,True,715.0,208.0,844.0,204.0,0.3309,False,2,-8.559985329593514,24.368417343669044,-179.10002995167744,Center,Down,False,0.507,0.546,Looking Down
76,3.072,True,715.0,207.0,846.0,204.0,0.336,False,2,-9.961620968768617,27.18182816488762,-179.3699814205348,Center,Down,False,0.513,0.53,Looking Down
77,3.112,True,712.0,210.0,842.0,207.0,0.3441,False,2,-10.927804249362921,27.065402280772172,-179.47237283508122,Center,Down,False,0.552,0.556,Looking Down
78,3.153,True,700.0,217.0,829.0,215.0,0.2978,False,2,-11.096971508276866,27.477594688211553,179.98618868025775,Center,Down,False,0.509,0.526,Looking Down
79,3.193,True,690.0,229.0,817.0,226.0,0.2498,False,2,-1.8619987721496931,37.07942684744845,-1.7250203844612801,Center,Down,False,0.475,0.501,Looking Down
80,3.234,True,678.0,237.0,808.0,233.0,0.2394,False,2,-1.4248096253512315,34.90754376891134,-1.9763808788357424,Center,Down,False,0.486,0.499,Looking Down
81,3.274,True,668.0,246.0,797.0,242.0,0.2247,False,2,-1.4101645400986575,32.06509785327325,-2.021035835183395,Center,Down,False,0.459,0.439,Looking Down
82,3.315,True,660.0,255.0,791.0,252.0,0.2068,True,3,-1.8261473604184595,27.194978591114786,-1.9834391321776892,Center,Down,False,0.452,0.393,Blink
83,3.355,True,655.0,269.0,786.0,267.0,0.171,False,3,-2.2294796793086222,20.23397632161398,-1.464114075470306,Closed,Closed,False,0.471,0.268,Eyes Closed
84,3.395,True,650.0,283.0,779.0,283.0,0.1648,False,3,-2.432576133696091,13.700753227619073,-0.6447253190872698,Closed,Closed,False,0.513,0.417,Eyes Closed
85,3.436,True,648.0,296.0,774.0,296.0,0.1576,False,3,-6.615832581987376,-19.518397464498758,-178.17671790762947,Closed,Closed,False,0.52,0.537,Eyes Closed
86,3.476,True,644.0,311.0,775.0,311.0,0.1974,False,3,-5.717335837479031,-23.643340142047055,-178.5800504038543,Closed,Closed,False,0.499,0.451,Looking Closed
87,3.517,True,643.0,323.0,774.0,323.0,0.2128,False,3,-6.305438962382514,-25.004552886104154,-178.0357969605036,Center,Up,False,0.487,0.481,Looking Up
88,3.557,True,645.0,332.0,771.0,333.0,0.1847,False,3,-6.433427203460273,-27.525139669959387,-177.433348683379,Closed,Closed,False,0.483,0.547,Looking Closed
89,3.598,True,651.0,339.0,763.0,340.0,0.1758,False,3,1.5288504794632864,-38.089382770636185,3.353379997417992,Closed,Closed,False,0.515,0.688,Eyes Closed
90,3.638,True,655.0,345.0,773.0,348.0,0.1363,False,3,2.0458695522549237,-39.86490870326145,3.8637933772467927,Closed,Closed,False,0.543,0.807,Eyes Closed
91,3.678,True,657.0,351.0,771.0,356.0,0.1491,False,3,1.5214989684302889,-43.57638386706,4.9898883944178545,Closed,Closed,False,0.534,0.722,Eyes Closed
92,3.719,True,660.0,366.0,776.0,378.0,0.1733,False,3,-7.0302880400383145,-37.6788645475478,-174.58233119793047,Closed,Closed,False,0.531,0.593,Eyes Closed
93,3.759,True,663.0,397.0,780.0,407.0,0.1974,False,3,3.234274592877124,-54.062165110135474,4.435705490195984,Closed,Closed,False,0.507,0.565,Looking Closed
94,3.8,True,666.0,433.0,785.0,443.0,0.1864,False,3,-6.533157078063969,-46.04270152748903,-175.07525275434577,Closed,Closed,False,0.528,0.621,Looking Closed
95,3.84,True,669.0,455.0,785.0,468.0,0.1978,False,3,3.8680213758510824,-64.52515113901815,6.733391341887653,Closed,Closed,False,0.578,0.801,Looking Closed
96,3.881,True,669.0,458.0,783.0,472.0,0.2109,False,3,-5.815593039194332,-47.38967700891478,-172.73261202257444,Center,Up,False,0.563,0.754,Looking Up
97,3.921,True,671.0,458.0,783.0,474.0,0.1936,False,3,-5.546762498915333,-48.26003605591644,-173.01883920801725,Closed,Closed,False,0.596,0.826,Looking Closed
98,3.961,True,668.0,459.0,784.0,475.0,0.1956,False,3,-6.108721387813734,-47.635912903778234,-172.5882454713793,Closed,Closed,False,0.591,0.877,Looking Closed
99,4.002,True,668.0,461.0,783.0,476.0,0.2006,False,3,-6.718712221820241,-47.36942736455411,-172.1893575118889,Center,Up,False,0.581,0.873,Looking Up
100,4.042,True,666.0,464.0,785.0,479.0,0.1944,False,3,-5.645051032652261,-46.931847992481075,-172.69414233352995,Closed,Closed,False,0.523,0.686,Looking Closed
101,4.083,True,662.0,463.0,780.0,477.0,0.1983,False,3,3.4468015579148896,-64.00921684557699,6.729131716939155,Closed,Closed,False,0.528,0.668,Looking Closed
